Commande_ID,Client_ID,Date_Commande,Montant_Commande
1,83,2023-01-01,139.66
2,84,2023-01-08,32.41
3,34,2023-01-15,340.71
4,19,2023-01-22,452.48
5,61,2023-01-29,351.9
6,2,2023-02-05,483.04
7,27,2023-02-12,435.81
8,77,2023-02-19,110.53
9,64,2023-02-26,316.85
10,100,2023-03-05,294.31
11,27,2023-03-12,317.11
12,96,2023-03-19,358.74
13,88,2023-03-26,81.01
14,88,2023-04-02,331.44
15,34,2023-04-09,144.56
16,80,2023-04-16,196.35
17,56,2023-04-23,311.87
18,16,2023-04-30,155.73
19,30,2023-05-07,263.29
20,35,2023-05-14,63.89
21,50,2023-05-21,219.73
22,63,2023-05-28,308.26
23,73,2023-06-04,465.96
24,89,2023-06-11,202.44
25,40,2023-06-18,492.31
26,56,2023-06-25,196.32
27,92,2023-07-02,192.14
28,80,2023-07-09,211.62
29,61,2023-07-16,63.0
30,92,2023-07-23,309.58
31,47,2023-07-30,147.01
32,61,2023-08-06,232.04
33,50,2023-08-13,206.55
34,59,2023-08-20,154.72
35,70,2023-08-27,151.23
36,41,2023-09-03,355.03
37,37,2023-09-10,216.85
38,99,2023-09-17,492.16
39,37,2023-09-24,368.84
40,81,2023-10-01,346.21
41,30,2023-10-08,337.04
42,46,2023-10-15,351.82
43,47,2023-10-22,293.29
44,99,2023-10-29,243.72
45,72,2023-11-05,302.65
46,76,2023-11-12,487.95
47,73,2023-11-19,147.34
48,39,2023-11-26,292.29
49,26,2023-12-03,42.29
50,38,2023-12-10,95.1
51,14,2023-12-17,407.55
52,5,2023-12-24,418.5
53,82,2023-12-31,437.38
54,18,2024-01-07,44.58
55,23,2024-01-14,452.61
56,1,2024-01-21,212.92
57,42,2024-01-28,51.29
58,54,2024-02-04,385.35
59,38,2024-02-11,69.98
60,78,2024-02-18,180.26
61,24,2024-02-25,265.61
62,56,2024-03-03,368.67
63,12,2024-03-10,366.2
64,7,2024-03-17,308.5
65,72,2024-03-24,386.64
66,21,2024-03-31,248.82
67,49,2024-04-07,435.41
68,32,2024-04-14,444.41
69,2,2024-04-21,343.34
70,98,2024-04-28,126.11
71,17,2024-05-05,325.7
72,88,2024-05-12,408.49
73,48,2024-05-19,339.06
74,84,2024-05-26,273.11
75,100,2024-06-02,408.88
76,46,2024-06-09,285.77
77,90,2024-06-16,228.4
78,99,2024-06-23,339.73
79,46,2024-06-30,137.11
80,72,2024-07-07,231.68
81,86,2024-07-14,133.97
82,61,2024-07-21,203.27
83,89,2024-07-28,99.62
84,18,2024-08-04,334.6
85,39,2024-08-11,107.54
86,29,2024-08-18,259.36
87,8,2024-08-25,419.12
88,7,2024-09-01,371.68
89,43,2024-09-08,214.5
90,69,2024-09-15,141.57
91,17,2024-09-22,132.44
92,5,2024-09-29,379.78
93,28,2024-10-06,460.0
94,64,2024-10-13,453.59
95,25,2024-10-20,439.26
96,26,2024-10-27,420.96
97,22,2024-11-03,229.64
98,80,2024-11-10,72.34
99,72,2024-11-17,291.88
100,56,2024-11-24,423.43
